Designator,Mid X,Mid Y,Rotation,Layer
BT1,22.425,16.925,180.0,top
C10,63.1,14.025,0.0,top
C11,58.3,19.2,270.0,top
C12,56.5,19.2,270.0,top
C13,54.5,19.2,270.0,top
C3,2.84,25.84,180.0,top
C4,41.0,17.3,0.0,top
C5,98.55,29.2375,90.0,top
C6,100.15,29.2375,90.0,top
C7,97.0,29.2375,90.0,top
C8,74.6,11.5,270.0,top
C9,63.1,12.5,0.0,top
D1,63.1,9.55,90.0,top
J1,54.27175,10.3496,0.0,top
J2,72.11,3.795,0.0,top
J3,74.6,19.2,180.0,top
J4,43.0,8.0,0.0,top
L1,63.0,22.2,180.0,top
R1,78.5,4.7125,90.0,top
R2,80.45,4.7125,270.0,top
R3,87.4125,30.75,180.0,top
R4,87.4125,28.8,180.0,top
R5,95.25,29.2,270.0,top
R6,42.975,12.5,180.0,top
S1,84.8,3.725,90.0,top
S2,92.8,3.725,270.0,top
U1,72.1,11.5,270.0,top
U2,2.8,29.8,180.0,top
U3,40.625,22.0,90.0,top
U4,95.2,17.375,270.0,top
U5,63.1,17.2,0.0,top
